"ár","Fólkaflokkurin","Sambandsflokkurin","Javnaðarflokkurin","Nýtt Sjálvstýri","Tjóðveldi","Miðflokkurin","Framsókn"
1978,4067,5966,5062,1626,4614,,
1980,4399,5558,5043,1953,4415,,
1984,5446,5330,5879,2135,4921,,
1988,6692,6116,6233,2033,5520,,
1990,6234,5367,7805,2489,4178,,
1994,4093,5986,3917,1437,3507,1491,
1998,5886,4995,6063,2116,6584,1125,
2002,6352,7954,6378,1351,7229,1292,
2004,6530,7501,6921,1461,6890,1661,
2008,6240,6529,6018,2244,7250,2610,
2011,6883,7546,5428,1290,5589,1883,1933
2015,6102,6046,8093,1305,6691,1779,2241
